source,listing_id,title,rent_gross_chf,rent_net_chf,rent_charges_chf,rooms,living_space_m2,floor,year_built,street,zip,city,lat,lon,url,object_type,description,attributes,is_furnished,year_renovated,moving_date
flatfox,86397492,,1450,,,1.5,30,1,,,8055,Zürich,47.362794742106,8.493711771281,https://flatfox.ch/de/wohnung/8055-zurich/86397492/,APARTMENT,"Möblierte Wohnung zu vermieten für 2 Monate ab Anfang Oktober 2026, für Einzelperson, Nichtraucher.  
  
Der grosszügige Balkon hat einen Blick auf eine schöne Wiese. Alle Fenster zeigen zur Wiese, nicht zur Strasse.  
  
Die Lage ist ruhig. Die Tram- und Bus-Haltestellen sind in der Nähe. Zürich HB: 14 Min. Migros, Aldi, Denner sind in wenigen Minuten zu Fuss erreichbar.  
  
Die Wohnung besteht aus:  
\- Einem Hauptraum: ein grosses Bett und ein kleines Sofa, zwei Kleiderschränke. Ein paar Stühle mit Esstisch, Arbeitsecke mit Tisch. Glasfaser Internet.  
\- Einer abgetrennten Küche mit Kühlschrank und Herd. Kaffeemaschine, Wasserkocher, Töpfe, Geschirr.  
\- Einem Badezimmer mit Badewanne.  
\- Einem grossen Balkon.  
  
Einzelperson, nur Nichtraucher bitte.  
Ein Monatsmiete-Depot im Voraus.","view,parkingspace,balconygarden,lift,parquetflooring,tumbler,broadbandinternet,washingmachine",True,,
flatfox,86397512,,2640,,,4.5,108,1,,,8112,Otelfingen,47.461544742106,8.392371771288,https://flatfox.ch/de/wohnung/8112-otelfingen/86397512/,APARTMENT,"(English below)  
  
Wir suchen Nachmieter für unsere 4.5-Zimmer-Wohnung im 1. Obergeschoss in Otelfingen.  
Die Wohnung bietet:  
**•** 4.5 Zimmer,  
**•** Eigener Waschturm (Waschmaschine & Tumbler) in der Wohnung  
**•** Balkon  
**• 2** Badezimmer  
**•** Lift im Haus  
**•** Kellerabteil und Mitbenützung Trockenraum  
**•** Optional: Garagenplatz in der Tiefgarage (CHF 140.–/Mt.)  
  
Mietzins: CHF 2'640.– inkl. Nebenkosten (gemäss aktuellem Mietvertrag, Bestätigung durch die Verwaltung ausstehend)  
Verfügbar ab 1. Januar 2027, spätestens ab 1. Februar 2027.  
  
————  
We are looking for new tenants for our 4.5-room apartment on the 1st floor of the ""Park Heidenwis"" development in Otelfingen.  
**•** 4.5 rooms,  
**•** Own washer & dryer inside the apartment  
**•** Balcony  
**• 2** bathrooms  
**•** Lift in the building  
**•** Private cellar storage and shared drying room  
**•** Optional: underground garage space (CHF 140/month)  
  
Rent: CHF 2,640/month incl. utilities (per current lease, pending confirmation by the property management)  
  
Available from 1 January 2027, or 1 February 2027 at the latest.","view,balconygarden,parkingspace,lift,accessiblewithwheelchair,parquetflooring,tumbler,washingmachine,broadbandinternet,dishwasher,cable",False,,2027-01-01
flatfox,86397524,,1400,,,1.0,20,,,München,8001,Zürich,47.363404742105,8.547851771281,https://flatfox.ch/de/wohnung/munchen-8001-zurich/86397524/,SINGLE_ROOM,"WG ZIMMER IN MÜNCHEN PASING ZU VERMIETEN   
AB SOFORT   
0041782259201   
1 Person:1000eur   
2 Personen: 1500 eur",,False,,
flatfox,86397535,,2250,,,3.5,97,,,Zwickystrasse 2,8304,Wallisellen,47.405774742101,8.601861771282,https://flatfox.ch/de/wohnung/zwickystrasse-2-8304-wallisellen/86397535/,APARTMENT,"Découvrez cet agréable appartement de 3.5 pièces situé au 1er étage à Zwickystrasse 2, dans le quartier paisible. Disponible immédiatement, ce logement allie confort moderne et situation idéale.   
  
Les points forts de l'appartement :   
  
  
Surface généreuse : 97m2 de surface habitable offrant un espace de vie agréable et fonctionnel.   
  
  
  
Balcon : Profitez d'un espace extérieur privatif avec une belle vue.   
  
  
  
Accessibilité : L'appartement est entièrement accessible aux personnes en fauteuil roulant.   
  
  
  
Certification Minergie : Un logement économe en énergie pour un confort optimal et des charges réduites.   
  
  
  
Machine à laver : Incluse pour votre commodité.   
  
  
  
Animaux acceptés : Vos compagnons à quatre pattes sont les bienvenus.   
  
  
  
Fumeurs acceptés : L'appartement est ouvert aux locataires fumeurs.   
  
  
  
Adapté aux familles : Un environnement idéal pour les enfants.   
  
  
  
Luminosité : L'appartement bénéficie d'un bel ensoleillement, notamment en été, pour des intérieurs lumineux et chaleureux tout au long de l'année.   
  
Calme et tranquillité : Situé dans un environnement particulièrement silencieux, cet appartement vous garantit une atmosphère sereine, de jour comme de nuit.   
  
Situation et commodités : Tout est à portée de main depuis ce logement idéalement placé :   
  
Que vous soyez une personne à mobilité réduite, une jeune famille ou simplement à la recherche d'un appartement calme.Ce logement saura répondre à toutes vos attentes. Ne manquez pas cette opportunité et venez découvrir votre futur chez-vous !",,False,,
flatfox,86397551,,3584,,,2.5,94,2,,Glasmalergasse 5,8004,Zurich,47.374524742106,8.530001771285,https://flatfox.ch/de/wohnung/glasmalergasse-5-8004-zurich/86397551/,APARTMENT,"**Description:**  
You've found it. Luxury apartment in Zurich's best neighborhood. Perfect for young professionals looking for their next home with no head aches. 
**Location Wins**  
Stauffacher (2 min walk), Paradeplatz (7 min), HB (5 min), lake (10 min). Everything's here—restaurants, bars, shops, nightlife, nature. No car needed.  
**The Space**  
Spacious and beautifully designed with custom furnishings:
**Kitchen**  
Professional-grade, fully equipped for cooking enthusiasts. Complete with modern appliances and a wine fridge.  
**What's Included 
\- Washer and dryer in-unit  
\- Luxury bathroom: deep bathtub, walk-in shower, separate toilet
\- Spacious Cellar
\- Walk-in Closet

Important: there will be a couch and table/chairs to be purchased as part of this transition. Happy to discuss on a call. 
  
**Timeline:** from the 15th of October","accessiblewithwheelchair,balconygarden,lift,minergie,dishwasher,cable,parquetflooring,tumbler,washingmachine",False,,2026-10-15
flatfox,86397552,,,3040,240,4.5,112,4,2025,Schaffhauserstrasse 22,8302,Kloten,47.441184742108,8.576291771288,https://flatfox.ch/de/wohnung/schaffhauserstrasse-22-8302-kloten/86397552/,APARTMENT,"Im looking for a tenant to take over my lease of this beautiful modern apartment. The apartment is 4.5 room, 2 bathrooms and balcony. The highlight of the apartment is the island kitchen connected with long dining table. Even though the building is close to main street whole apartment is placed towards the forest which makes it very peaceful and cosy.  
There is no one else directly on top of this apartment so you can't hear anyone stomping.  
  
Master bedroom has attached bathroom with bathtub. The other bathroom is connected to the living room and has shower and washing machine + tumbler.  
  
Super well connected - bus stop directly in front of the building, with 5 minutes bus to airport and 8 minutes walking to Kloten Balsberg train station.  
  
The apartment has designated spacious basement room.  
The apartment has one parking spot for 150chf/month extra. Motorcycle parking spots also available.  
  
Free of charge storage place for bicycles and strollers.  
  
The apartment building has cool bonus feature which is a professionally prepared music room which can be used for instrument practice, singing or dancing and its free of charge.  
  
The house construction was finished last year and we are first tenants.  
  
Moving out only because we bought a house. This place is great, peaceful and we are leaving it behind with heavy heart.  
  
Ich spreche auch bissen Deutsch. Kontakt in Deutsch ist auch moglich.","balconygarden,lift,garage,view,accessiblewithwheelchair,dishwasher,tumbler,washingmachine,broadbandinternet,petsallowed",False,,2026-12-01
flatfox,86397556,,2820,,,3.5,100,3,,,8052,Zurich,47.423284742101,8.542281771281,https://flatfox.ch/de/wohnung/8052-zurich/86397556/,APARTMENT,"Grosszügige 3.5-Zimmer-Wohnung mit gedecktem Balkon in Zürich-Seebach  
Diese **attraktive 3.5-Zimmer-Wohnung** mit **ca. 100 m²** Wohnfläche überzeugt durch eine grosszügige Raumaufteilung, hochwertige Materialien und einen hohen Wohnkomfort. Die Wohnung befindet sich im 3. Obergeschoss und ist bequem mit dem Lift erreichbar.  
Das Herzstück bildet der **lichtdurchflutete Wohn- und Essbereich.** Dank der weitläufigen Fensterflächen gelangt besonders viel Tageslicht in die Räume und schafft eine offene, freundliche Wohnatmosphäre.  
Die **zwei Schlafzimmer mit Parkettboden** bieten vielseitige Nutzungsmöglichkeiten. **Hochwertige Steinplattenböden** **in der Küche und in den Badezimmern** verleihen der Wohnung ein modernes Erscheinungsbild.  
Für zusätzlichen Komfort sorgen **zwei Badezimmer** (inkl. **mit eigenem Waschturm)**. Ein praktischer Einbauschrank für Mäntel und Schuhe ist im Eingangsbereich eingebaut.  
**Ein modernes Zuhause für alle, die viel Platz, einen eigenen Parkplatz und hohen Alltagskomfort in gut angebundener Lage schätzen.**  
**Gute ÖV-Anbindung mit Bus 75 an der Leimgrübelstrasse resp. Birch-/Glatttalstr.**  
**Highlights:**  

*   3.5 Zimmer im 3. Obergeschoss - kernsaniert 2022/23
*   Wohnung und Parkplatz mit Bezug per Ende November
*   Bequemer Zugang mit Lift (auch in die Tiefgarage)
*   **Grosszügiger, lichtdurchfluteter Wohn- und Essbereich**
*   Rund **4.4 m² grosser, gedeckter Balkon**
*   Küche mit modernen V-ZUG Geräten (Induktionsherd, Geschirrspüler, Backofen) und **Granitabdeckung**
*   Zwei flexibel nutzbare **Schlafzimmer** und Wohnbereich mit **Parkettboden**
*   Hochwertige Steinplattenböden in Küche und Badezimmern
*   **Zwei Badezimmer** mit Dusche und Waschturm
*   Praktischer **Einbauschrank** im Eingangsbereich
*   Grosszügiges Kellerabteil
*   **Tiefgaragen-Einstellplatz** für CHF 180.-/Monat

Wohnung und Parkplatz mit Bezug per Ende November. Depot/Kaution (CHF) 3 Monatsmieten.  
\===  
  
**Light-filled 3.5-room apartment with balcony and underground parking space**  
**Spacious 3.5-room apartment with covered balcony in Zürich-Seebach**  
This attractive 3.5-room apartment with approx. 100 m² of living space impresses with a generous layout, high-quality materials, and a high level of living comfort. The apartment is located on the 3rd floor and is conveniently accessible by elevator.  
The centerpiece is the light-filled living and dining area. Thanks to the expansive window surfaces, plenty of daylight enters the rooms, creating an open, friendly living atmosphere.  
The two bedrooms with parquet flooring offer versatile usage options. High-quality stone tile flooring in the kitchen and bathrooms gives the apartment a modern look.  
Two bathrooms with (incl. own washer/dryer) provide additional comfort. A practical built-in closet for coats and shoes is installed in the entrance area.  
A modern home for anyone who values plenty of space, own parking and high everyday comfort in a well-connected location.  
Good public transport connections via bus 75 at Leimgrübelstrasse or Birch-/Glatttalstrasse.  
**Highlights:**  

*   3.5 rooms on the 3rd floor – core renovated 2022/23
*   Apartment and parking space available from end of November
*   Convenient elevator access (including to the underground garage)
*   Spacious, light-filled living and dining area
*   Approx. 4.4 m² covered balcony
*   Kitchen with modern V-ZUG appliances (induction stove, dishwasher, oven) and granite countertop
*   Two flexibly usable bedrooms and living area with parquet flooring
*   High-quality stone tile flooring in kitchen and bathrooms
*   Two bathrooms with shower and washer/dryer tower
*   Practical built-in closet in the entrance area
*   Spacious cellar compartment
*   Underground parking space for CHF 180/month

Apartment and parking space available from the end of November. Security deposit (CHF): 3 months' rent.","parkingspace,balconygarden,garage,lift,dishwasher,cable,parquetflooring,tumbler,broadbandinternet,stonefloor,washingmachine",False,,
flatfox,86397558,,,1700,,2.5,50,3,,,8052,Zürich,47.423324742104,8.542251771287,https://flatfox.ch/de/wohnung/8052-zurich/86397558/,APARTMENT,"Ich suche einen Nachmieter für meine Wohnung. Die Wohnung hat ein Wohnzimmer, Schlafzimmer, Küche, Bad, Gang und einen großen Balkon. Es gibt auch ein Kellerabteil.  
  
Ich war sehr zufrieden hier.  
Die Lage ist ruhig, und sehr gut angebunden.  
  
\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_  
I’m looking for a new tenant to take over my apartment. The apartment has a living room, bedroom, kitchen, bathroom, hallway, and a large balcony. There is also a private basement storage unit.  
  
I’ve been very happy living here. The area is quiet and very well connected by public transport.","balconygarden,parquetflooring",False,,2026-11-02
flatfox,86396855,,1872,,,3.5,69,3,,Falmenstrasse 4,8610,Uster,47.352444742101,8.718061771289,https://flatfox.ch/de/wohnung/falmenstrasse-4-8610-uster/86396855/,APARTMENT,"Sehr schöne, warme Wohnung in ruhiger Lage, nur 2 Gehminuten vom Uster Bahnhof entfernt.  
  
Ich suche jemanden, der die Wohnung so bald wie möglich übernimmt. Sollte ich jemanden finden, der ernsthaft interessiert ist, werde ich das Inserat entfernen.  
  
Besichtigungstermine können gerne via Kontaktformular vereinbart werden.","parkingspace,lift,balconygarden,parquetflooring,petsallowed",False,,
flatfox,86396861,,,2500,,2.5,,1,,,8002,Zurich,47.360114742101,8.529321771287,https://flatfox.ch/de/wohnung/8002-zurich/86396861/,APARTMENT,"(English below) Wir suchen Untermietende für sechs Monate (November 2026–April 2027): Grosse, helle und stilvoll möblierte 2.5-Zimmer-Wohnung mit 1 Schlafzimmer, offener voll ausgestatteter Küche/Wohnzimmer, Balkon, 2 Badezimmern, Reduit mit Waschturm. Auf Wunsch kann ein Home Office Arbeitsplatz zur Verfügung gestellt werden. Im Herzen von Zürich gelegen – nur 10 Gehminuten von Google, Paradeplatz, Bahnhofstrasse und dem Zürichsee entfernt. Sihlcity, Rieterpark, ein grosses Naherholungsgebiet (ideal zum Joggen und Velofahren) sowie der Uetliberg befinden sich ebenfalls in unmittelbarer Nähe. Hervorragende Anbindung an Tram, Bus und Bahn (Bahnhof Enge). Ruhige und sichere Wohngegend.  
  
We are looking for tenants for a six-month sublet (November 2026–April 2027): Spacious, bright and stylishly furnished 2.5-room apartment with one bedroom, an open-plan fully equipped kitchen and living area, balcony, two bathrooms, and a utility room with washer and dryer. A home office workspace can be provided upon request. Located in the heart of Zurich, just a 10-minute walk from Google, Paradeplatz, Bahnhofstrasse and Lake Zurich. Sihlcity, Rieterpark, a large recreational area (ideal for running and cycling), and Uetliberg are also nearby. Excellent public transport connections via tram, bus and train (Zurich Enge station). Quiet and safe residential neighbourhood.","balconygarden,dishwasher,washingmachine,broadbandinternet,tumbler",True,2020,2026-10-31
